split,dataset,run_id,controller,steps,grid_import_kwh,total_cost,carbon_kg,peak_kwh,ramping_kwh,agent_time_seconds,agreement_steps,changed_trade_steps,changed_trade_step_pct,predicted_grid_delta_mean,message_count,challenge_cost,comfort_cost,emissions_cost,grid_cost,resilience_cost,reserve_limited_step_pct,reserve_limited_peer_mean,selected_reserve_margin_min,challenge_cost_change_vs_chesca_pct,comfort_cost_change_vs_chesca_pct,emissions_cost_change_vs_chesca_pct,grid_cost_change_vs_chesca_pct,resilience_cost_change_vs_chesca_pct,grid_import_kwh_change_vs_chesca_pct,total_cost_change_vs_chesca_pct,carbon_kg_change_vs_chesca_pct,peak_kwh_change_vs_chesca_pct,ramping_kwh_change_vs_chesca_pct
public,citylearn_challenge_2023_phase_2_online_evaluation_1,1,chesca_official,2207,6491.3432289958,221.21694644505624,2870.9370426870883,15.888326644897461,2371.8534651994705,88.55816354599995,0,0,0.0,0.0,0,0.5365941524505615,0.07287482761303755,0.9504995446967058,0.8855656936823597,0.5133734250264996,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public,citylearn_challenge_2023_phase_2_online_evaluation_1,1,chesca_mesh,2207,6506.596293270588,220.52347744069993,2872.4511792827398,15.596223831176758,2302.2968715429306,95.82009881500005,2191,1862,84.98402555910543,-0.1738491297209835,39438,0.5332485437393188,0.07287482761303755,0.9511385424760572,0.8741859474263323,0.5133883088614845,,,,-0.6234895956215102,0.0,0.06722757342880038,-1.2850256437450935,0.00289922194240115,0.23497547020245185,-0.31347915044498614,0.05274015323701884,-1.838474373350777,-2.932583933918965
public,citylearn_challenge_2023_phase_2_online_evaluation_1,1,chesca_reserve_contract_mesh,2207,6503.011934429407,220.94000049913302,2872.4221528633498,15.567583084106445,2320.811523258686,100.69418651399997,2191,1388,63.35006846188955,-0.0358705622141706,39438,0.5341363549232483,0.07287482761303755,0.9511967308497034,0.877142959640056,0.5133711900002506,55.362848014605206,1.1405750798722045,-0.16634920835494993,-0.45803658427673205,0.0,0.07334944628721357,-0.9511134072143583,-0.0004353607218683355,0.1797579487321645,-0.12519201190221738,0.05172910984044107,-2.0187372022214967,-2.1519854700000143
public,citylearn_challenge_2023_phase_2_online_evaluation_2,2,chesca_official,2207,6485.68855214119,221.00552178791258,2868.1740433610976,15.642983436584473,2338.079015851021,96.83176493100018,0,0,0.0,0.0,0,0.5208621621131897,0.07144832092537468,0.951417928864675,0.8757043107112195,0.4719152412592904,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public,citylearn_challenge_2023_phase_2_online_evaluation_2,2,chesca_mesh,2207,6500.593954741955,220.38169758184813,2869.569230876863,15.5027494430542,2268.444081902504,97.37098870800014,2185,1852,84.75972540045767,-0.17281325005910003,39330,0.5185961127281189,0.07144832092537468,0.9519364883666738,0.868273826464071,0.47161933778193393,,,,-0.43505740095944245,0.0,0.05450386063436347,-0.8485152072751158,-0.06270267443934745,0.22981989469482542,-0.28226634385321225,0.04864375364510532,-0.8964657803210746,-2.9782968615015313
public,citylearn_challenge_2023_phase_2_online_evaluation_2,2,chesca_reserve_contract_mesh,2207,6496.513131171465,220.7467391754035,2869.6053349995054,15.87966537475586,2289.8883486390114,96.02153211500013,2185,1384,63.34096109839817,-0.02981401336840766,39330,0.5216169953346252,0.07144832092537468,0.952001297580099,0.8777166210855767,0.47222459082183654,55.74370709382151,1.1560640732265446,-0.09244084239006045,0.14491995701379293,0.0,0.0613157160197836,0.22979336172536297,0.06555193295318157,0.16689945783322746,-0.11709327912514073,0.04990253787844001,1.5130230056873628,-2.061122266839594
public,citylearn_challenge_2023_phase_2_online_evaluation_3,3,chesca_official,2207,6495.577850759029,220.8098488493124,2871.7045238651335,17.345685958862305,2347.9180196523666,88.42854982199992,0,0,0.0,0.0,0,0.46776631474494934,0.06723547351716723,0.9521155781596269,0.9031146143860781,0.2714991243479414,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public,citylearn_challenge_2023_phase_2_online_evaluation_3,3,chesca_mesh,2207,6509.149855315685,219.99704836448655,2872.447364400141,17.222145080566406,2289.287887573242,93.12321111699998,2193,1875,85.49931600547195,-0.1709871818262144,39474,0.45703965425491333,0.06702503580672951,0.952528191895157,0.8967884453529817,0.24214263939074385,,,,-2.2931665132588153,-0.3129861357843868,0.043336517645021264,-0.7004835191817567,-10.81273651533975,0.20894221989918804,-0.36809974240801985,0.025867582435243047,-0.712228265799881,-2.497111551101143
public,citylearn_challenge_2023_phase_2_online_evaluation_3,3,chesca_reserve_contract_mesh,2207,6507.33137562871,220.48766556032933,2873.6780394762754,17.501455307006836,2303.614205777645,94.29673772499996,2193,1389,63.33789329685362,-0.035052485475358344,39474,0.4577721953392029,0.06687184953221971,0.9529046720522389,0.9026275265370121,0.23877312940325612,55.90515275877793,1.1595987232102143,-0.09244084239006045,-2.1365624438338995,-0.5408216316862492,0.08287795207986429,-0.05393422288899077,-12.05381233670023,0.18094656302682857,-0.14590983629672125,0.06872279493733194,0.898029334290727,-1.8869404086468555
private,citylearn_challenge_2023_phase_3_1,1,chesca_official,2207,15146.473406285048,513.1013546286849,6721.283707939088,30.452171325683594,4226.040989160538,176.74831879499993,0,0,0.0,0.0,0,0.5901687145233154,0.13031451527209315,0.9255833139116746,0.9577677056679241,0.5706189049930452,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
