split,controller,leaderboard_cost,comfort_cost,emissions_cost,grid_cost,resilience_cost,leaderboard_cost_change_vs_chesca_pct
private,chesca_mesh,0.566371480623881,0.12919549300306057,0.9286693423835719,0.9205733384574417,0.5285796629007006,-0.23908189919015452
private,chesca_official,0.5677288174629211,0.12894204774437953,0.928364648896853,0.9340233546132026,0.5200089891440364,0.0
private,chesca_reserve_contract_mesh,0.5704731941223145,0.12920503490904856,0.9288201087455525,0.9342167152849269,0.5285488116300361,0.4833956943840618
public,chesca_mesh,0.5029614369074503,0.07044939478171391,0.9518677409126294,0.8797494064144616,0.40905009534472075,-1.071208771256872
public,chesca_official,0.5084075431029002,0.07051954068519316,0.9513443505736693,0.8881282062598858,0.41892926354457716,0.0
public,chesca_reserve_contract_mesh,0.5045085151990255,0.07039833269021065,0.9520342334940137,0.8858290357542149,0.4081229700751144,-0.7669099242859758
