controller,steps,grid_import_kwh,total_cost,carbon_kg,peak_kwh,ramping_kwh,agent_time_seconds,agreement_steps,changed_trade_steps,changed_trade_step_pct,predicted_grid_delta_mean,message_count,challenge_cost,comfort_cost,emissions_cost,grid_cost,resilience_cost,reserve_limited_step_pct,reserve_limited_peer_mean,selected_reserve_margin_min,challenge_cost_change_vs_chesca_pct,comfort_cost_change_vs_chesca_pct,emissions_cost_change_vs_chesca_pct,grid_cost_change_vs_chesca_pct,resilience_cost_change_vs_chesca_pct,grid_import_kwh_change_vs_chesca_pct,total_cost_change_vs_chesca_pct,carbon_kg_change_vs_chesca_pct,peak_kwh_change_vs_chesca_pct,ramping_kwh_change_vs_chesca_pct
chesca_official,2207,6491.3432289958,221.21694644505624,2870.9370426870883,15.888326644897461,2371.8534651994705,88.55816354599995,0,0,0.0,0.0,0,0.5365941524505615,0.07287482761303755,0.9504995446967058,0.8855656936823597,0.5133734250264996,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chesca_mesh,2207,6506.596293270588,220.52347744069993,2872.4511792827398,15.596223831176758,2302.2968715429306,95.82009881500005,2191,1862,84.98402555910543,-0.1738491297209835,39438,0.5332485437393188,0.07287482761303755,0.9511385424760572,0.8741859474263323,0.5133883088614845,,,,-0.6234895956215102,0.0,0.06722757342880038,-1.2850256437450935,0.00289922194240115,0.23497547020245185,-0.31347915044498614,0.05274015323701884,-1.838474373350777,-2.932583933918965
chesca_reserve_contract_mesh,2207,6503.011934429407,220.94000049913302,2872.4221528633498,15.567583084106445,2320.811523258686,100.69418651399997,2191,1388,63.35006846188955,-0.0358705622141706,39438,0.5341363549232483,0.07287482761303755,0.9511967308497034,0.877142959640056,0.5133711900002506,55.362848014605206,1.1405750798722045,-0.16634920835494993,-0.45803658427673205,0.0,0.07334944628721357,-0.9511134072143583,-0.0004353607218683355,0.1797579487321645,-0.12519201190221738,0.05172910984044107,-2.0187372022214967,-2.1519854700000143
