controller,steps,grid_import_kwh,total_cost,carbon_kg,peak_kwh,ramping_kwh,agent_time_seconds,agreement_steps,changed_trade_steps,changed_trade_step_pct,predicted_grid_delta_mean,message_count,challenge_cost,comfort_cost,emissions_cost,grid_cost,resilience_cost,debt_created_soc_total,debt_repaid_soc_total,extra_discharge_soc_total,extra_charge_soc_total,mean_total_debt_soc,max_total_debt_soc,max_peer_debt_soc,recovery_action_steps,relief_action_steps,mean_budget_use_soc,challenge_cost_change_vs_chesca_pct,comfort_cost_change_vs_chesca_pct,emissions_cost_change_vs_chesca_pct,grid_cost_change_vs_chesca_pct,resilience_cost_change_vs_chesca_pct,grid_import_kwh_change_vs_chesca_pct,total_cost_change_vs_chesca_pct,carbon_kg_change_vs_chesca_pct,peak_kwh_change_vs_chesca_pct,ramping_kwh_change_vs_chesca_pct
chesca_official,2207,15146.473406285048,513.1013546286849,6721.283707939088,30.452171325683594,4226.040989160538,182.04346074800014,0,0,0.0,0.0,0,0.5901687145233154,0.13031451527209315,0.9255833139116746,0.9577677056679241,0.5706189049930452,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chesca_mesh,2207,15162.90113800764,511.47574605606496,6723.459507017396,29.626964569091797,4076.3092304468155,192.83336861399994,2163,1774,82.01571890892279,-0.31892490627091136,194670,0.5890981554985046,0.13071008883532165,0.9258273593729746,0.9435534722408733,0.5807879169576269,,,,,,,,,,,-0.18139880994462595,0.30355295601764315,0.02636666603988252,-1.484100303542621,1.7821021833662491,0.108459119703578,-0.31682016778076294,0.03237177855977158,-2.709845376102331,-3.5430739810089964
chesca_commitment_full_mesh,2207,15158.499350070953,512.3692697896622,6727.170667401515,29.575191497802734,4128.220639705658,191.09644673799994,2163,1053,48.68238557558946,0.037555032649949464,194670,0.5865439176559448,0.13039110840934806,0.926411666074871,0.943841609747812,0.5721098422399796,42.120000000000005,41.92,42.120000000000005,72.10000000000001,0.11158576051779938,0.5800000000000001,0.12000000000000002,633.0,443.0,0.20993989828941287,-0.6141967166623508,0.058775599245403466,0.08949514870743229,-1.454016024731222,0.26128423609669205,0.07939764896636374,-0.1426784069889086,0.08758683189452346,-2.879859759429397,-2.3147042280418306
