split,dataset,run_id,controller,steps,grid_import_kwh,total_cost,carbon_kg,peak_kwh,ramping_kwh,agent_time_seconds,agreement_steps,changed_trade_steps,changed_trade_step_pct,predicted_grid_delta_mean,message_count,challenge_cost,comfort_cost,emissions_cost,grid_cost,resilience_cost,challenge_cost_change_vs_chesca_pct,comfort_cost_change_vs_chesca_pct,emissions_cost_change_vs_chesca_pct,grid_cost_change_vs_chesca_pct,resilience_cost_change_vs_chesca_pct,grid_import_kwh_change_vs_chesca_pct,total_cost_change_vs_chesca_pct,carbon_kg_change_vs_chesca_pct,peak_kwh_change_vs_chesca_pct,ramping_kwh_change_vs_chesca_pct
public,citylearn_challenge_2023_phase_2_online_evaluation_1,1,chesca_official,2207,6491.3432289958,221.21694644505624,2870.9370426870883,15.888326644897461,2371.8534651994705,88.00793182400002,0,0,0.0,0.0,0,0.5365941524505615,0.07287482761303755,0.9504995446967058,0.8855656936823597,0.5133734250264996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public,citylearn_challenge_2023_phase_2_online_evaluation_1,1,chesca_mesh,2207,6506.596293270588,220.52347744069993,2872.4511792827398,15.596223831176758,2302.2968715429306,96.40742327299995,2191,1862,84.98402555910543,-0.1738491297209835,39438,0.5332485437393188,0.07287482761303755,0.9511385424760572,0.8741859474263323,0.5133883088614845,-0.6234895956215102,0.0,0.06722757342880038,-1.2850256437450935,0.00289922194240115,0.23497547020245185,-0.31347915044498614,0.05274015323701884,-1.838474373350777,-2.932583933918965
public,citylearn_challenge_2023_phase_2_online_evaluation_2,2,chesca_official,2207,6485.68855214119,221.00552178791258,2868.1740433610976,15.642983436584473,2338.079015851021,89.6594444100001,0,0,0.0,0.0,0,0.5208621621131897,0.07144832092537468,0.951417928864675,0.8757043107112195,0.4719152412592904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public,citylearn_challenge_2023_phase_2_online_evaluation_2,2,chesca_mesh,2207,6500.593954741955,220.38169758184813,2869.569230876863,15.5027494430542,2268.444081902504,94.82169458599992,2185,1852,84.75972540045767,-0.17281325005910003,39330,0.5185961127281189,0.07144832092537468,0.9519364883666738,0.868273826464071,0.47161933778193393,-0.43505740095944245,0.0,0.05450386063436347,-0.8485152072751158,-0.06270267443934745,0.22981989469482542,-0.28226634385321225,0.04864375364510532,-0.8964657803210746,-2.9782968615015313
public,citylearn_challenge_2023_phase_2_online_evaluation_3,3,chesca_official,2207,6495.577850759029,220.8098488493124,2871.7045238651335,17.345685958862305,2347.9180196523666,88.48190820599984,0,0,0.0,0.0,0,0.46776631474494934,0.06723547351716723,0.9521155781596269,0.9031146143860781,0.2714991243479414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public,citylearn_challenge_2023_phase_2_online_evaluation_3,3,chesca_mesh,2207,6509.149855315685,219.99704836448655,2872.447364400141,17.222145080566406,2289.287887573242,95.11860130600007,2193,1875,85.49931600547195,-0.1709871818262144,39474,0.45703965425491333,0.06702503580672951,0.952528191895157,0.8967884453529817,0.24214263939074385,-2.2931665132588153,-0.3129861357843868,0.043336517645021264,-0.7004835191817567,-10.81273651533975,0.20894221989918804,-0.36809974240801985,0.025867582435243047,-0.712228265799881,-2.497111551101143
private,citylearn_challenge_2023_phase_3_1,1,chesca_official,2207,15146.473406285048,513.1013546286849,6721.283707939088,30.452171325683594,4226.040989160538,171.83708203600008,0,0,0.0,0.0,0,0.5901687145233154,0.13031451527209315,0.9255833139116746,0.9577677056679241,0.5706189049930452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private,citylearn_challenge_2023_phase_3_1,1,chesca_mesh,2207,15162.90113800764,511.47574605606496,6723.459507017396,29.626964569091797,4076.3092304468155,181.896665535,2163,1774,82.01571890892279,-0.31892490627091136,194670,0.5890981554985046,0.13071008883532165,0.9258273593729746,0.9435534722408733,0.5807879169576269,-0.18139880994462595,0.30355295601764315,0.02636666603988252,-1.484100303542621,1.7821021833662491,0.108459119703578,-0.31682016778076294,0.03237177855977158,-2.709845376102331,-3.5430739810089964
private,citylearn_challenge_2023_phase_3_2,2,chesca_official,2207,15238.297836989164,514.8426823337795,6771.437829725444,27.787294387817383,4179.619470953941,175.37277404000042,0,0,0.0,0.0,0,0.5534442663192749,0.12928660574978054,0.9297149350593271,0.9265492815156726,0.4790732494010089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private,citylearn_challenge_2023_phase_3_2,2,chesca_mesh,2207,15257.328761398792,513.3613547591958,6774.310940741561,26.91010856628418,4051.21531188488,192.23979679700005,2168,1781,82.14944649446494,-0.31976398762677505,195120,0.5490137934684753,0.12936636032984894,0.9300702394082544,0.9143428127866138,0.47631329487453133,-0.800527373833823,0.061688200108488654,0.038216482873280284,-1.3174117095089848,-0.5761028255967949,0.12488878097284986,-0.2877243137396555,0.04242985150811803,-3.156787448574995,-3.0721495093369056
