controller,steps,grid_import_kwh,total_cost,carbon_kg,peak_kwh,ramping_kwh,agent_time_seconds,agreement_steps,changed_trade_steps,changed_trade_step_pct,predicted_grid_delta_mean,message_count,challenge_cost,comfort_cost,emissions_cost,grid_cost,resilience_cost,reserve_limited_step_pct,reserve_limited_peer_mean,selected_reserve_margin_min,challenge_cost_change_vs_chesca_pct,comfort_cost_change_vs_chesca_pct,emissions_cost_change_vs_chesca_pct,grid_cost_change_vs_chesca_pct,resilience_cost_change_vs_chesca_pct,grid_import_kwh_change_vs_chesca_pct,total_cost_change_vs_chesca_pct,carbon_kg_change_vs_chesca_pct,peak_kwh_change_vs_chesca_pct,ramping_kwh_change_vs_chesca_pct
chesca_official,2207,15242.20655414462,515.0349098694278,6770.69563242048,26.66653823852539,4225.00970685482,177.5337727330002,0,0,0.0,0.0,0,0.5595734715461731,0.12722502221126486,0.9297956977195575,0.9177530766560112,0.510334813038055,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chesca_mesh,2207,15259.92137748003,513.4291963942815,6772.703359483741,25.686126708984375,4097.554709434509,195.12191560099973,2173,1792,82.46663598711459,-0.3146619025561178,195570,0.5610024929046631,0.1275100298440111,0.9301104283694869,0.9038237303448379,0.5286377768699435,,,,0.25537689528801666,0.2240185364424426,0.03384944140968714,-1.5177662342388767,3.5864619391590944,0.11622217080237766,-0.31176789075393224,0.029653187386644096,-3.676560942299613,-3.0166793987129314
chesca_reserve_contract_mesh,2207,15255.221278846264,514.3686995296739,6773.669922411442,26.591793060302734,4143.130499243736,200.554562239,2173,1346,61.94201564657156,-0.06253036107329503,195570,0.5629892349243164,0.1273568435695013,0.9302523194418768,0.9170999967778726,0.5220899523370657,60.37735849056604,2.407731247123792,-0.09244084239006045,0.6104226793856256,0.10361276103182544,0.04910989838297046,-0.07116073971860502,2.303417089857471,0.08538609324976022,-0.12935246271418513,0.043928868648586146,-0.2802957682548806,-1.9379649584766627
