controller,steps,grid_import_kwh,total_cost,carbon_kg,peak_kwh,ramping_kwh,agent_time_seconds,agreement_steps,changed_trade_steps,changed_trade_step_pct,predicted_grid_delta_mean,message_count,challenge_cost,comfort_cost,emissions_cost,grid_cost,resilience_cost,reserve_limited_step_pct,reserve_limited_peer_mean,selected_reserve_margin_min,challenge_cost_change_vs_chesca_pct,comfort_cost_change_vs_chesca_pct,emissions_cost_change_vs_chesca_pct,grid_cost_change_vs_chesca_pct,resilience_cost_change_vs_chesca_pct,grid_import_kwh_change_vs_chesca_pct,total_cost_change_vs_chesca_pct,carbon_kg_change_vs_chesca_pct,peak_kwh_change_vs_chesca_pct,ramping_kwh_change_vs_chesca_pct
chesca_official,2207,15238.297836989164,514.8426823337795,6771.437829725444,27.787294387817383,4179.619470953941,184.60962892899988,0,0,0.0,0.0,0,0.5534442663192749,0.12928660574978054,0.9297149350593271,0.9265492815156726,0.4790732494010089,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chesca_mesh,2207,15257.328761398792,513.3613547591958,6774.310940741561,26.91010856628418,4051.21531188488,194.41173774799972,2168,1781,82.14944649446494,-0.31976398762677505,195120,0.5490137934684753,0.12936636032984894,0.9300702394082544,0.9143428127866138,0.47631329487453133,,,,-0.800527373833823,0.061688200108488654,0.038216482873280284,-1.3174117095089848,-0.5761028255967949,0.12488878097284986,-0.2877243137396555,0.04242985150811803,-3.156787448574995,-3.0721495093369056
chesca_reserve_contract_mesh,2207,15252.192880988121,514.122631052509,6775.971816807985,27.788976669311523,4100.132719278336,190.93986063700004,2168,1318,60.79335793357934,-0.05475296281234928,195120,0.55400550365448,0.12944295346710386,0.9303642967100001,0.9284744696285716,0.478646054766247,60.42435424354243,2.4252767527675276,-0.09244084239006045,0.10140810364476836,0.12093110219468994,0.06984524247010593,0.2077804334109157,-0.0891710474955669,0.09118501388802171,-0.1398585055160116,0.0669575235947315,0.006054139243143361,-1.9017700589251012
