controller,steps,grid_import_kwh,total_cost,carbon_kg,peak_kwh,ramping_kwh,agent_time_seconds,agreement_steps,changed_trade_steps,changed_trade_step_pct,predicted_grid_delta_mean,message_count,challenge_cost,comfort_cost,emissions_cost,grid_cost,resilience_cost,debt_created_soc_total,debt_repaid_soc_total,extra_discharge_soc_total,extra_charge_soc_total,mean_total_debt_soc,max_total_debt_soc,max_peer_debt_soc,recovery_action_steps,relief_action_steps,mean_budget_use_soc,challenge_cost_change_vs_chesca_pct,comfort_cost_change_vs_chesca_pct,emissions_cost_change_vs_chesca_pct,grid_cost_change_vs_chesca_pct,resilience_cost_change_vs_chesca_pct,grid_import_kwh_change_vs_chesca_pct,total_cost_change_vs_chesca_pct,carbon_kg_change_vs_chesca_pct,peak_kwh_change_vs_chesca_pct,ramping_kwh_change_vs_chesca_pct
chesca_official,2207,15242.20655414462,515.0349098694278,6770.69563242048,26.66653823852539,4225.00970685482,182.00191815799963,0,0,0.0,0.0,0,0.5595734715461731,0.12722502221126486,0.9297956977195575,0.9177530766560112,0.510334813038055,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chesca_mesh,2207,15259.92137748003,513.4291963942815,6772.703359483741,25.686126708984375,4097.554709434509,190.2457086180002,2173,1792,82.46663598711459,-0.3146619025561178,195570,0.5610024929046631,0.1275100298440111,0.9301104283694869,0.9038237303448379,0.5286377768699435,,,,,,,,,,,0.25537689528801666,0.2240185364424426,0.03384944140968714,-1.5177662342388767,3.5864619391590944,0.11622217080237766,-0.31176789075393224,0.029653187386644096,-3.676560942299613,-3.0166793987129314
chesca_commitment_full_mesh,2207,15254.083633959293,514.3636392743792,6777.117252997123,25.765857696533203,4121.4427391290665,189.9371625240001,2173,1030,47.399907961343764,0.0384445859856234,195570,0.5548155307769775,0.12704118700384473,0.9307087279475877,0.9038500912881643,0.5082574321571608,42.18000000000001,42.14000000000001,42.18000000000001,72.94000000000001,0.1150023009664059,0.7200000000000001,0.12000000000000002,628.0,423.0,0.21063046479521402,-0.8502799026638553,-0.14449610951127242,0.09819686521131102,-1.5148938991852618,-0.4070623496224714,0.07792231244526,-0.130334969957422,0.09484432509258676,-3.3775682990264033,-2.4512835451649426
