split,dataset,run_id,controller,steps,grid_import_kwh,total_cost,carbon_kg,peak_kwh,ramping_kwh,agent_time_seconds,agreement_steps,changed_trade_steps,changed_trade_step_pct,predicted_grid_delta_mean,message_count,challenge_cost,comfort_cost,emissions_cost,grid_cost,resilience_cost,debt_created_soc_total,debt_repaid_soc_total,extra_discharge_soc_total,extra_charge_soc_total,mean_total_debt_soc,max_total_debt_soc,max_peer_debt_soc,recovery_action_steps,relief_action_steps,mean_budget_use_soc,challenge_cost_change_vs_chesca_pct,comfort_cost_change_vs_chesca_pct,emissions_cost_change_vs_chesca_pct,grid_cost_change_vs_chesca_pct,resilience_cost_change_vs_chesca_pct,grid_import_kwh_change_vs_chesca_pct,total_cost_change_vs_chesca_pct,carbon_kg_change_vs_chesca_pct,peak_kwh_change_vs_chesca_pct,ramping_kwh_change_vs_chesca_pct
public,citylearn_challenge_2023_phase_2_online_evaluation_1,1,chesca_official,2207,6491.3432289958,221.21694644505624,2870.9370426870883,15.888326644897461,2371.8534651994705,96.5330136309999,0,0,0.0,0.0,0,0.5365941524505615,0.07287482761303755,0.9504995446967058,0.8855656936823597,0.5133734250264996,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public,citylearn_challenge_2023_phase_2_online_evaluation_1,1,chesca_mesh,2207,6506.596293270588,220.52347744069993,2872.4511792827398,15.596223831176758,2302.2968715429306,103.15854402299988,2191,1862,84.98402555910543,-0.1738491297209835,39438,0.5332485437393188,0.07287482761303755,0.9511385424760572,0.8741859474263323,0.5133883088614845,,,,,,,,,,,-0.6234895956215102,0.0,0.06722757342880038,-1.2850256437450935,0.00289922194240115,0.23497547020245185,-0.31347915044498614,0.05274015323701884,-1.838474373350777,-2.932583933918965
public,citylearn_challenge_2023_phase_2_online_evaluation_1,1,chesca_commitment_full_mesh,2207,6498.415160000324,220.51718267798424,2875.0215740278363,15.822346687316895,2260.7630002498627,103.7190133539998,2191,935,42.674577818347785,0.016068236156271093,39438,0.5328631401062012,0.07287482761303755,0.9518903292607362,0.8726675625322594,0.5133713000301737,26.140000000000004,25.92,26.140000000000004,38.300000000000004,0.0789411227749886,0.46,0.16000000000000003,530.0,412.0,0.2331477255438917,-0.6953136420367727,0.0,0.14632143400701955,-1.4564849612079354,-0.00041392799516126424,0.10894403138221127,-0.3163246660426173,0.14227171407858896,-0.415273169133616,-4.683698490634423
public,citylearn_challenge_2023_phase_2_online_evaluation_2,2,chesca_official,2207,6485.68855214119,221.00552178791258,2868.1740433610976,15.642983436584473,2338.079015851021,92.873075341,0,0,0.0,0.0,0,0.5208621621131897,0.07144832092537468,0.951417928864675,0.8757043107112195,0.4719152412592904,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public,citylearn_challenge_2023_phase_2_online_evaluation_2,2,chesca_mesh,2207,6500.593954741955,220.38169758184813,2869.569230876863,15.5027494430542,2268.444081902504,100.04200249999985,2185,1852,84.75972540045767,-0.17281325005910003,39330,0.5185961127281189,0.07144832092537468,0.9519364883666738,0.868273826464071,0.47161933778193393,,,,,,,,,,,-0.43505740095944245,0.0,0.05450386063436347,-0.8485152072751158,-0.06270267443934745,0.22981989469482542,-0.28226634385321225,0.04864375364510532,-0.8964657803210746,-2.9782968615015313
public,citylearn_challenge_2023_phase_2_online_evaluation_2,2,chesca_commitment_full_mesh,2207,6492.098062455654,220.3776169406483,2871.679110467434,15.81651496887207,2227.3082967996597,104.86474608899994,2185,931,42.608695652173914,0.01587242843208158,39330,0.5182679295539856,0.07144832092537468,0.95258100606494,0.8672959668149143,0.4712884157687508,26.220000000000006,26.040000000000003,26.220000000000006,38.260000000000005,0.0799908466819222,0.52,0.18000000000000002,509.0,427.0,0.23405034324942797,-0.4980650828386231,0.0,0.12224671881608129,-0.9601807132222736,-0.13282586272631142,0.09882544101425482,-0.2841127417019278,0.12220552356121696,1.1093250401439212,-4.7376807327891965
public,citylearn_challenge_2023_phase_2_online_evaluation_3,3,chesca_official,2207,6495.577850759029,220.8098488493124,2871.7045238651335,17.345685958862305,2347.9180196523666,92.70219090200021,0,0,0.0,0.0,0,0.46776631474494934,0.06723547351716723,0.9521155781596269,0.9031146143860781,0.2714991243479414,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public,citylearn_challenge_2023_phase_2_online_evaluation_3,3,chesca_mesh,2207,6509.149855315685,219.99704836448655,2872.447364400141,17.222145080566406,2289.287887573242,99.25099458900013,2193,1875,85.49931600547195,-0.1709871818262144,39474,0.45703965425491333,0.06702503580672951,0.952528191895157,0.8967884453529817,0.24214263939074385,,,,,,,,,,,-2.2931665132588153,-0.3129861357843868,0.043336517645021264,-0.7004835191817567,-10.81273651533975,0.20894221989918804,-0.36809974240801985,0.025867582435243047,-0.712228265799881,-2.497111551101143
public,citylearn_challenge_2023_phase_2_online_evaluation_3,3,chesca_commitment_full_mesh,2207,6502.30344581604,220.0242639085045,2875.569074653089,16.57022476196289,2239.263055205345,103.37209037299999,2193,908,41.404468764249884,0.015498529372056598,39474,0.45652472972869873,0.06698635240407554,0.9534045960008907,0.879735952563809,0.25722520210900923,26.540000000000003,26.360000000000003,26.540000000000003,38.400000000000006,0.07996352029183768,0.5000000000000001,0.18000000000000002,513.0,402.0,0.23489588083295337,-2.4032480881784126,-0.3705203519212007,0.135384597293888,-2.588670524190501,-5.257446878774943,0.10354113539297728,-0.35577441174012203,0.13457341296221104,-4.4706285974421975,-4.627715428629359
private,citylearn_challenge_2023_phase_3_1,1,chesca_official,2207,15146.473406285048,513.1013546286849,6721.283707939088,30.452171325683594,4226.040989160538,182.04346074800014,0,0,0.0,0.0,0,0.5901687145233154,0.13031451527209315,0.9255833139116746,0.9577677056679241,0.5706189049930452,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private,citylearn_challenge_2023_phase_3_1,1,chesca_mesh,2207,15162.90113800764,511.47574605606496,6723.459507017396,29.626964569091797,4076.3092304468155,192.83336861399994,2163,1774,82.01571890892279,-0.31892490627091136,194670,0.5890981554985046,0.13071008883532165,0.9258273593729746,0.9435534722408733,0.5807879169576269,,,,,,,,,,,-0.18139880994462595,0.30355295601764315,0.02636666603988252,-1.484100303542621,1.7821021833662491,0.108459119703578,-0.31682016778076294,0.03237177855977158,-2.709845376102331,-3.5430739810089964
