split,controller,leaderboard_cost,comfort_cost,emissions_cost,grid_cost,resilience_cost,leaderboard_cost_change_vs_chesca_pct
private,chesca_commitment_full_mesh,0.5633057157198588,0.1288758923112727,0.9292422043082668,0.9202192248445294,0.5188431980571654,-0.7790870582945617
private,chesca_mesh,0.566371480623881,0.12919549300306057,0.9286693423835719,0.9205733384574417,0.5285796629007006,-0.23908189919015452
private,chesca_official,0.5677288174629211,0.12894204774437953,0.928364648896853,0.9340233546132026,0.5200089891440364,0.0
public,chesca_commitment_full_mesh,0.5025519331296285,0.07043650031416258,0.952625310442189,0.8732331606369943,0.4139616393026446,-1.1517551328081803
public,chesca_mesh,0.5029614369074503,0.07044939478171391,0.9518677409126294,0.8797494064144616,0.40905009534472075,-1.071208771256872
public,chesca_official,0.5084075431029002,0.07051954068519316,0.9513443505736693,0.8881282062598858,0.41892926354457716,0.0
