controller,steps,grid_import_kwh,total_cost,carbon_kg,peak_kwh,ramping_kwh,agent_time_seconds,agreement_steps,changed_trade_steps,changed_trade_step_pct,predicted_grid_delta_mean,message_count,challenge_cost,comfort_cost,emissions_cost,grid_cost,resilience_cost,challenge_cost_change_vs_chesca_pct,comfort_cost_change_vs_chesca_pct,emissions_cost_change_vs_chesca_pct,grid_cost_change_vs_chesca_pct,resilience_cost_change_vs_chesca_pct,grid_import_kwh_change_vs_chesca_pct,total_cost_change_vs_chesca_pct,carbon_kg_change_vs_chesca_pct,peak_kwh_change_vs_chesca_pct,ramping_kwh_change_vs_chesca_pct
chesca_official,2207,6491.3432289958,221.21694644505624,2870.9370426870883,15.888326644897461,2371.8534651994705,88.00793182400002,0,0,0.0,0.0,0,0.5365941524505615,0.07287482761303755,0.9504995446967058,0.8855656936823597,0.5133734250264996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chesca_mesh,2207,6506.596293270588,220.52347744069993,2872.4511792827398,15.596223831176758,2302.2968715429306,96.40742327299995,2191,1862,84.98402555910543,-0.1738491297209835,39438,0.5332485437393188,0.07287482761303755,0.9511385424760572,0.8741859474263323,0.5133883088614845,-0.6234895956215102,0.0,0.06722757342880038,-1.2850256437450935,0.00289922194240115,0.23497547020245185,-0.31347915044498614,0.05274015323701884,-1.838474373350777,-2.932583933918965
