controller,carbon_emissions_total,discomfort_proportion,ramping_average,daily_one_minus_load_factor_average,daily_peak_average,annual_peak_average,one_minus_thermal_resilience_proportion,power_outage_normalized_unserved_energy_total,average_score
chesca_official,0.9255833139116746,0.13031451527209315,0.8504110674148792,0.9586447928608307,0.8890242906151801,1.1329906717808063,0.7887805665847356,0.35245724340135487,0.5901687
chesca_mesh,0.9258273593729746,0.13071008883532165,0.819864174693139,0.9609082304688337,0.8911531073516371,1.1022883764498834,0.8057968751406782,0.3557789587745756,0.58909816
chesca_commitment_ledger_mesh,0.9258757579019862,0.13039110840934806,0.8250449747846397,0.9554153308099045,0.8863063664024765,1.1151318688727012,0.7927488205529896,0.3510544040747687,0.58691776
chesca_commitment_recovery_mesh,0.9271866050133685,0.13062088782111275,0.8391938820778843,0.9561573385846582,0.8885215936803104,1.1010970964296518,0.8006853284894975,0.34836035098479207,0.5881345
chesca_commitment_budget_mesh,0.9260563662085018,0.1305729204018218,0.834602553808866,0.959121509098896,0.8894750038301936,1.1010490609687298,0.8050504078545768,0.3511728203194843,0.5890296
chesca_commitment_full_mesh,0.926411666074871,0.13039110840934806,0.8305268849957437,0.9566756785904899,0.8878017460589124,1.1003621293461021,0.7927488205529896,0.35147086392696963,0.5865439
